source_name	source_qid	parity	target_name	target_qid	target_uid	reason	witness	
Edraianthus serbicus	gbif:3164409	=>	Edraianthus serbicus	ncbi:440373	987568	same/primary-name	Edraianthus serbicus
Edraianthus serbicus	gbif:3164409	-	Edraianthus serbicus subsp. stankovicii	ncbi:440374	987555	noinfo	null

Treichelia dodii	gbif:8142498	=>	Treichelia dodii	ncbi:1348704	5232463	same/primary-name	Treichelia dodii
Treichelia dodii	gbif:8142498	-	Wahlenbergia depressa	ncbi:1005589	385575	noinfo	null

Palmerella debilis	gbif:5413081	=>	Palmerella debilis	ncbi:252779	958529	same/primary-name	Palmerella debilis
Palmerella debilis	gbif:5413081	-	Lobelia dunnii	ncbi:104596	149506	noinfo	null

Campanula parryi	gbif:5411120	=>	Campanula parryi	ncbi:440358	897852	same/primary-name	Campanula parryi
Campanula parryi	gbif:5411120	-	Campanula langsdorffiana	ncbi:1241112	1088825	noinfo	null

Campanula daghestanica	gbif:5411161	=>	Campanula daghestanica	ncbi:1241063	16182	same/primary-name	Campanula daghestanica
Campanula daghestanica	gbif:5411161	-	Campanula fedorovii	ncbi:649657	479174	noinfo	null

Campanula elatinoides	gbif:5410359	=>	Campanula elatinoides	ncbi:361381	377018	same/primary-name	Campanula elatinoides
Campanula elatinoides	gbif:5410359	-	Campanula petraea	ncbi:239417	210675	noinfo	null

Campanula propinqua	gbif:5411366	=>	Campanula propinqua	ncbi:428188	27443	same/primary-name	Campanula propinqua
Campanula propinqua	gbif:5411366	-	Campanula balansae	ncbi:1241028	84673	noinfo	null

Campanula cochleariifolia	gbif:5410194	=>	Campanula cochleariifolia	ncbi:428162	283610	same/primary-name	Campanula cochleariifolia
Campanula cochleariifolia	gbif:5410194	-	Campanula immodesta	ncbi:1796126	3893240	noinfo	null

Campanula celsii	gbif:5411258	=>	Campanula celsii	ncbi:1241051	761726	same/primary-name	Campanula celsii
Campanula celsii	gbif:5411258	-	Campanula tomentosa	ncbi:649669	954417	noinfo	null

Campanula tomentosa	gbif:5410680	=>	Campanula tomentosa	ncbi:649669	954417	same/primary-name	Campanula tomentosa
Campanula tomentosa	gbif:5410680	-	Campanula laciniata	ncbi:519283	992214	noinfo	null

Campanula fastigiata	gbif:5410417	=>	Campanula fastigiata	ncbi:428169	283595	same/primary-name	Campanula fastigiata
Campanula fastigiata	gbif:5410417	-	Campanula drabifolia	ncbi:361380	377020	noinfo	null

Campanula scheuchzeri	gbif:5410226	=>	Campanula scheuchzeri	ncbi:361399	953245	same/primary-name	Campanula scheuchzeri
Campanula scheuchzeri	gbif:5410226	-	Campanula serrata subsp. recta	ncbi:1241175	884305	noinfo	null

Campanula cashmeriana	gbif:5410109	=>	Campanula cashmeriana	ncbi:1241048	322455	same/primary-name	Campanula cashmeriana
Campanula cashmeriana	gbif:5410109	-	Campanula evolvulacea	ncbi:1241075	1016771	noinfo	null

Campanula rotundifolia	gbif:5410907	=>	Campanula rotundifolia	ncbi:239422	667590	same/primary-name	Campanula rotundifolia
Campanula rotundifolia	gbif:5410907	-	Campanula legionensis	ncbi:1241114	441873	noinfo	null

Campanula portenschlagiana	gbif:5410411	=>	Campanula portenschlagiana	ncbi:361394	953239	same/primary-name	Campanula portenschlagiana
Campanula portenschlagiana	gbif:5410411	-	Campanula affinis	ncbi:428153	908035	noinfo	null

Campanula peregrina	gbif:5410022	=>	Campanula peregrina	ncbi:239415	219653	same/primary-name	Campanula peregrina
Campanula peregrina	gbif:5410022	-	Campanula alata	ncbi:478654	671924	noinfo	null

Campanula cana	gbif:5410097	=>	Campanula cana	ncbi:1241045	322432	same/primary-name	Campanula cana
Campanula cana	gbif:5410097	-	Campanula xylopoda	ncbi:1241213	702332	noinfo	null

Campanula buseri	gbif:5411077	=>	Campanula buseri	ncbi:1241039	606300	same/primary-name	Campanula buseri
Campanula buseri	gbif:5411077	-	Campanula tubulosa	ncbi:519289	832283	noinfo	null

Campanula bayerniana	gbif:5411780	=>	Campanula bayerniana	ncbi:1241029	84671	same/primary-name	Campanula bayerniana
Campanula bayerniana	gbif:5411780	-	Campanula savalanica	ncbi:428197	600586	noinfo	null

Campanula marchesettii	gbif:5410225	=>	Campanula marchesettii	ncbi:361392	953227	same/primary-name	Campanula marchesettii
Campanula marchesettii	gbif:5410225	-	Campanula scheuchzeri	ncbi:361399	953245	noinfo	null

Campanula hispanica	gbif:5411288	=>	Campanula hispanica	ncbi:1241097	453442	same/primary-name	Campanula hispanica
Campanula hispanica	gbif:5411288	-	Campanula ciliata	ncbi:649654	479176	noinfo	null

Campanula raddeana	gbif:5411714	=>	Campanula raddeana	ncbi:239420	667600	same/primary-name	Campanula raddeana
Campanula raddeana	gbif:5411714	-	Campanula kemulariae	ncbi:1238577	277895	noinfo	null

Campanula lusitanica	gbif:5411432	=>	Campanula lusitanica	ncbi:239411	219661	same/primary-name	Campanula lusitanica
Campanula lusitanica	gbif:5411432	-	Campanula ramosissima	ncbi:1090606	263493	noinfo	null

Campanula bononiensis	gbif:5410250	=>	Campanula bononiensis	ncbi:361374	109730	same/primary-name	Campanula bononiensis
Campanula bononiensis	gbif:5410250	-	Campanula petraea	ncbi:239417	210675	noinfo	null

Campanula wanneri	gbif:5410174	=>	Campanula wanneri	ncbi:1282957	909841	same/primary-name	Campanula wanneri
Campanula wanneri	gbif:5410174	-	Campanula heterophylla	ncbi:1241094	109516	noinfo	null

Campanula specularioides	gbif:5411434	=>	Campanula specularioides	ncbi:564950	230566	same/primary-name	Campanula specularioides
Campanula specularioides	gbif:5411434	-	Campanula elatines	ncbi:186428	965310	noinfo	null

Campanula dimorphantha	gbif:5410893	=>	Campanula dimorphantha	ncbi:428160	283617	same/primary-name	Campanula dimorphantha
Campanula dimorphantha	gbif:5410893	-	Asyneuma canescens	ncbi:614174	659497	noinfo	null

Campanula rupicola	gbif:5410084	=>	Campanula rupicola	ncbi:1241164	309809	same/primary-name	Campanula rupicola
Campanula rupicola	gbif:5410084	-	Campanula rupestris	ncbi:1241163	309823	noinfo	null

Campanula scutellata	gbif:5411959	=>	Campanula scutellata	ncbi:428202	513697	same/primary-name	Campanula scutellata
Campanula scutellata	gbif:5411959	-	Campanula drabifolia	ncbi:361380	377020	noinfo	null

Campanula cervicaria	gbif:5410857	=>	Campanula cervicaria	ncbi:649652	479178	same/primary-name	Campanula cervicaria
Campanula cervicaria	gbif:5410857	-	Campanula lingulata	ncbi:1241120	208533	noinfo	null

Campanula orphanidea	gbif:5409812	=>	Campanula orphanidea	ncbi:440379	296788	same/primary-name	Campanula orphanidea
Campanula orphanidea	gbif:5409812	-	Campanula bellidifolia	ncbi:239400	361581	noinfo	null

Campanula pendula	gbif:5410178	=>	Campanula pendula	ncbi:239473	1002872	same/primary-name	Campanula pendula
Campanula pendula	gbif:5410178	-	Campanula alliariifolia	ncbi:239396	245756	noinfo	null

Campanula micrantha	gbif:5410231	=>	Campanula micrantha	ncbi:1241130	782933	same/primary-name	Campanula micrantha
Campanula micrantha	gbif:5410231	-	Campanula apennina	ncbi:1488313	9006155	noinfo	null

Campanula waldsteiniana	gbif:5410798	=>	Campanula waldsteiniana	ncbi:361407	719196	same/primary-name	Campanula waldsteiniana
Campanula waldsteiniana	gbif:5410798	-	Campanula rupestris	ncbi:1241163	309823	noinfo	null

Campanula involucrata	gbif:5410324	=>	Campanula involucrata	ncbi:428176	858211	same/primary-name	Campanula involucrata
