name	|	uid	|	type	|	uniqname	|	sourceinfo	|	
Lobelia radicans var. albiflora	|	104504	|	synonym	|	Lobelia radicans var. albiflora (synonym for Lobelia chinensis)	|	gbif:5409093	|	
Lobelia campanuloides	|	104504	|	synonym	|	Lobelia campanuloides (synonym for Lobelia chinensis)	|	gbif:5409093	|	
Lobelia radicans	|	104504	|	synonym	|	Lobelia radicans (synonym for Lobelia chinensis)	|	gbif:5409093	|	
Lobelia chinensis f. lactiflora	|	104504	|	synonym	|	Lobelia chinensis f. lactiflora (synonym for Lobelia chinensis)	|	gbif:5409093	|	
Lobelia radicans f. plena	|	104504	|	synonym	|	Lobelia radicans f. plena (synonym for Lobelia chinensis)	|	gbif:5409093	|	
Lobelia caespitosa	|	104504	|	synonym	|	Lobelia caespitosa (synonym for Lobelia chinensis)	|	gbif:5409093	|	
Lobelia chinensis var. albiflora	|	104504	|	synonym	|	Lobelia chinensis var. albiflora (synonym for Lobelia chinensis)	|	gbif:5409093	|	
Dortmanna radicans	|	104504	|	synonym	|	Dortmanna radicans (synonym for Lobelia chinensis)	|	gbif:5409093	|	
Dortmanna campanuloides	|	104504	|	synonym	|	Dortmanna campanuloides (synonym for Lobelia chinensis)	|	gbif:5409093	|	
Dortmanna chinensis	|	104504	|	synonym	|	Dortmanna chinensis (synonym for Lobelia chinensis)	|	gbif:5409093	|	
Isolobus caespitosus	|	104504	|	synonym	|	Isolobus caespitosus (synonym for Lobelia chinensis)	|	gbif:5409093	|	
Isolobus roxburghianus	|	104504	|	synonym	|	Isolobus roxburghianus (synonym for Lobelia chinensis)	|	gbif:5409093	|	
Isolobus campanuloides	|	104504	|	synonym	|	Isolobus campanuloides (synonym for Lobelia chinensis)	|	gbif:5409093	|	
Lobelia roxburgiana	|	104504	|	synonym	|	Lobelia roxburgiana (synonym for Lobelia chinensis)	|	gbif:5409093	|	
Lobelia chinensis f. plena	|	104504	|	synonym	|	Lobelia chinensis f. plena (synonym for Lobelia chinensis)	|	gbif:5409093	|	
Isolobus kerii	|	104504	|	synonym	|	Isolobus kerii (synonym for Lobelia chinensis)	|	gbif:5409093	|	
Pratia radicans	|	104504	|	synonym	|	Pratia radicans (synonym for Lobelia chinensis)	|	gbif:5409093	|	
Isolobus radicans	|	104504	|	synonym	|	Isolobus radicans (synonym for Lobelia chinensis)	|	gbif:5409093	|	
Pratia thunbergii	|	104504	|	synonym	|	Pratia thunbergii (synonym for Lobelia chinensis)	|	gbif:5409093	|	
Rapuntium chinense	|	104504	|	synonym	|	Rapuntium chinense (synonym for Lobelia chinensis)	|	gbif:5409093	|	
Lobelia chinensis var. tetrapetala	|	104504	|	synonym	|	Lobelia chinensis var. tetrapetala (synonym for Lobelia chinensis)	|	gbif:5409093	|	
Rapuntium campanuloides	|	104504	|	synonym	|	Rapuntium campanuloides (synonym for Lobelia chinensis)	|	gbif:5409093	|	
Rapuntium radicans	|	104504	|	synonym	|	Rapuntium radicans (synonym for Lobelia chinensis)	|	gbif:5409093	|	
Rapuntium caespitosum	|	104504	|	synonym	|	Rapuntium caespitosum (synonym for Lobelia chinensis)	|	gbif:5409093	|	
Lobelia schmitzii	|	545898	|	synonym	|	Lobelia schmitzii (synonym for Lobelia divaricata)	|	gbif:5407914	|	
Lobelia seleriana	|	545898	|	synonym	|	Lobelia seleriana (synonym for Lobelia divaricata)	|	gbif:5407914	|	
Lobelia berlandieri var. seleriana	|	545898	|	synonym	|	Lobelia berlandieri var. seleriana (synonym for Lobelia divaricata)	|	gbif:5407914	|	
Lobelia trivialis	|	545898	|	synonym	|	Lobelia trivialis (synonym for Lobelia divaricata)	|	gbif:5407914	|	
Lobelia pusilla	|	545898	|	synonym	|	Lobelia pusilla (synonym for Lobelia divaricata)	|	gbif:5407914	|	
Rapuntium pusillum	|	545898	|	synonym	|	Rapuntium pusillum (synonym for Lobelia divaricata)	|	gbif:5407914	|	
Dortmanna divaricata	|	545898	|	synonym	|	Dortmanna divaricata (synonym for Lobelia divaricata)	|	gbif:5407914	|	
Dortmanna pusilla	|	545898	|	synonym	|	Dortmanna pusilla (synonym for Lobelia divaricata)	|	gbif:5407914	|	
Petromarula strictiflora	|	320442	|	synonym	|	Petromarula strictiflora (synonym for Lobelia kalmii)	|	gbif:5408030	|	
Lobelia strictiflora	|	320442	|	synonym	|	Lobelia strictiflora (synonym for Lobelia kalmii)	|	gbif:5408030	|	
Lobelia kalmii var. edithae	|	320442	|	synonym	|	Lobelia kalmii var. edithae (synonym for Lobelia kalmii)	|	gbif:5408030	|	
Lobelia falcata	|	320442	|	synonym	|	Lobelia falcata (synonym for Lobelia kalmii)	|	gbif:5408030	|	
Lobelia kalmii f. leucantha	|	320442	|	synonym	|	Lobelia kalmii f. leucantha (synonym for Lobelia kalmii)	|	gbif:5408030	|	
Lobelia kalmii var. capillaris	|	320442	|	synonym	|	Lobelia kalmii var. capillaris (synonym for Lobelia kalmii)	|	gbif:5408030	|	
Lobelia kalmii var. strictiflora	|	320442	|	synonym	|	Lobelia kalmii var. strictiflora (synonym for Lobelia kalmii)	|	gbif:5408030	|	
Lobelia incurva	|	320442	|	synonym	|	Lobelia incurva (synonym for Lobelia kalmii)	|	gbif:5408030	|	
Rapuntium kalmii	|	320442	|	synonym	|	Rapuntium kalmii (synonym for Lobelia kalmii)	|	gbif:5408030	|	
Dortmanna kalmii	|	320442	|	synonym	|	Dortmanna kalmii (synonym for Lobelia kalmii)	|	gbif:5408030	|	
Lobelia lacustris	|	320450	|	synonym	|	Lobelia lacustris (synonym for Lobelia dortmanna)	|	gbif:5408512	|	
Lobelia dortmanna f. terrestris	|	320450	|	synonym	|	Lobelia dortmanna f. terrestris (synonym for Lobelia dortmanna)	|	gbif:5408512	|	
Lobelia dortmanna var. decolor	|	320450	|	synonym	|	Lobelia dortmanna var. decolor (synonym for Lobelia dortmanna)	|	gbif:5408512	|	
Dortmanna lacustris	|	320450	|	synonym	|	Dortmanna lacustris (synonym for Lobelia dortmanna)	|	gbif:5408512	|	
Lobelia dortmanna f. decolor	|	320450	|	synonym	|	Lobelia dortmanna f. decolor (synonym for Lobelia dortmanna)	|	gbif:5408512	|	
Rapuntium dortmanna	|	320450	|	synonym	|	Rapuntium dortmanna (synonym for Lobelia dortmanna)	|	gbif:5408512	|	
Lobelia anatina var. riskindii	|	958538	|	synonym	|	Lobelia anatina var. riskindii (synonym for Lobelia anatina)	|	gbif:5408797	|	
Tupa deckenii	|	428452	|	synonym	|	Tupa deckenii (synonym for Lobelia deckenii)	|	gbif:5407982	|	
Dortmanna deckenii	|	428452	|	synonym	|	Dortmanna deckenii (synonym for Lobelia deckenii)	|	gbif:5407982	|	
Tupa kerstenii	|	428452	|	synonym	|	Tupa kerstenii (synonym for Lobelia deckenii)	|	gbif:5407982	|	
Tupa assurgens	|	320454	|	synonym	|	Tupa assurgens (synonym for Lobelia assurgens)	|	gbif:5407945	|	
Tylomium assurgens	|	320454	|	synonym	|	Tylomium assurgens (synonym for Lobelia assurgens)	|	gbif:5407945	|	
Dortmanna assurgens	|	320454	|	synonym	|	Dortmanna assurgens (synonym for Lobelia assurgens)	|	gbif:5407945	|	
Colensoa physaloides	|	869804	|	synonym	|	Colensoa physaloides (synonym for Lobelia physaloides)	|	ncbi:268274,gbif:5407831	|	
Pratia physaloides	|	869804	|	synonym	|	Pratia physaloides (synonym for Lobelia physaloides)	|	gbif:5407831	|	
Dortmanna montana	|	428454	|	synonym	|	Dortmanna montana (synonym for Lobelia rhynchopetalum)	|	gbif:5408326	|	
Tupa rhynchopetalum	|	428454	|	homotypic synonym	|	Tupa rhynchopetalum (synonym for Lobelia rhynchopetalum)	|	gbif:5408326	|	
Rhynchopetalum montanum	|	428454	|	synonym	|	Rhynchopetalum montanum (synonym for Lobelia rhynchopetalum)	|	gbif:5408326	|	
Lobelia rhynchopetalum subsp. callosomarginata	|	428454	|	synonym	|	Lobelia rhynchopetalum subsp. callosomarginata (synonym for Lobelia rhynchopetalum)	|	gbif:5408326	|	
Tupa montana	|	428454	|	synonym	|	Tupa montana (synonym for Lobelia rhynchopetalum)	|	gbif:5408326	|	
Lobelia gulparae	|	214809	|	homotypic synonym	|	Lobelia gulparae (synonym for Lobelia zeylanica)	|	gbif:5408635	|	
Rapuntium affine	|	214809	|	proparte synonym	|	Rapuntium affine (synonym for Lobelia zeylanica)	|	gbif:5408635	|	
Dortmanna trigona var. intermedia	|	214809	|	synonym	|	Dortmanna trigona var. intermedia (synonym for Lobelia zeylanica)	|	gbif:5408635	|	
Dortmanna trigona var. affinis	|	214809	|	synonym	|	Dortmanna trigona var. affinis (synonym for Lobelia zeylanica)	|	gbif:5408635	|	
Lobelia hirta	|	214809	|	synonym	|	Lobelia hirta (synonym for Lobelia zeylanica)	|	gbif:5408635	|	
Lobelia zeylanica f. rubescens	|	214809	|	synonym	|	Lobelia zeylanica f. rubescens (synonym for Lobelia zeylanica)	|	gbif:5408635	|	
Lobelia succulenta var. lobbiana	|	214809	|	synonym	|	Lobelia succulenta var. lobbiana (synonym for Lobelia zeylanica)	|	gbif:5408635	|	
Lobelia succulenta f. glabra	|	214809	|	synonym	|	Lobelia succulenta f. glabra (synonym for Lobelia zeylanica)	|	gbif:5408635	|	
Lobelia succulenta	|	214809	|	synonym	|	Lobelia succulenta (synonym for Lobelia zeylanica)	|	gbif:5408635	|	
Lobelia zeylanica f. viridis	|	214809	|	synonym	|	Lobelia zeylanica f. viridis (synonym for Lobelia zeylanica)	|	gbif:5408635	|	
Lobelia zeylanica var. lobbiana	|	214809	|	synonym	|	Lobelia zeylanica var. lobbiana (synonym for Lobelia zeylanica)	|	gbif:5408635	|	
Lobelia affinis var. lobbiana	|	214809	|	synonym	|	Lobelia affinis var. lobbiana (synonym for Lobelia zeylanica)	|	gbif:5408635	|	
Lobelia macraeana	|	214809	|	synonym	|	Lobelia macraeana (synonym for Lobelia zeylanica)	|	gbif:5408635	|	
Dortmanna succulenta	|	214809	|	synonym	|	Dortmanna succulenta (synonym for Lobelia zeylanica)	|	gbif:5408635	|	
Dortmanna trigona var. nummulariifolia	|	214809	|	synonym	|	Dortmanna trigona var. nummulariifolia (synonym for Lobelia zeylanica)	|	gbif:5408635	|	
Dortmanna zeylanica	|	214809	|	synonym	|	Dortmanna zeylanica (synonym for Lobelia zeylanica)	|	gbif:5408635	|	
Pratia torricellensis	|	214809	|	synonym	|	Pratia torricellensis (synonym for Lobelia zeylanica)	|	gbif:5408635	|	
Lobelia zeylanica var. hirta	|	214809	|	synonym	|	Lobelia zeylanica var. hirta (synonym for Lobelia zeylanica)	|	gbif:5408635	|	
Lobelia subcuneata	|	214809	|	synonym	|	Lobelia subcuneata (synonym for Lobelia zeylanica)	|	gbif:5408635	|	
Lobelia lobbiana	|	214809	|	synonym	|	Lobelia lobbiana (synonym for Lobelia zeylanica)	|	gbif:5408635	|	
Pratia ovata	|	214809	|	synonym	|	Pratia ovata (synonym for Lobelia zeylanica)	|	gbif:5408635	|	
Rapuntium hirtum	|	214809	|	synonym	|	Rapuntium hirtum (synonym for Lobelia zeylanica)	|	gbif:5408635	|	
Lobelia barbata	|	214809	|	synonym	|	Lobelia barbata (synonym for Lobelia zeylanica)	|	gbif:5408635	|	
Lobelia affinis	|	214809	|	synonym	|	Lobelia affinis (synonym for Lobelia zeylanica)	|	gbif:5408635	|	
Rapuntium succulentum	|	214809	|	synonym	|	Rapuntium succulentum (synonym for Lobelia zeylanica)	|	gbif:5408635	|	
Rapuntium zeylanicum	|	214809	|	synonym	|	Rapuntium zeylanicum (synonym for Lobelia zeylanica)	|	gbif:5408635	|	
Dortmanna subcuneata	|	214809	|	synonym	|	Dortmanna subcuneata (synonym for Lobelia zeylanica)	|	gbif:5408635	|	
Lobelia angustifolia	|	320456	|	synonym	|	Lobelia angustifolia (synonym for Lobelia anceps)	|	gbif:5408235	|	
Lobelia rupincola	|	320456	|	homotypic synonym	|	Lobelia rupincola (synonym for Lobelia anceps)	|	gbif:5408235	|	
Lobelia anceps var. vagans	|	320456	|	synonym	|	Lobelia anceps var. vagans (synonym for Lobelia anceps)	|	gbif:5408235	|	
Lobelia rhizophyta	|	320456	|	synonym	|	Lobelia rhizophyta (synonym for Lobelia anceps)	|	gbif:5408235	|	
Lobelia repens	|	320456	|	synonym	|	Lobelia repens (synonym for Lobelia anceps)	|	gbif:5408235	|	
Lobelia alata var. angustifolia	|	320456	|	synonym	|	Lobelia alata var. angustifolia (synonym for Lobelia anceps)	|	gbif:5408235	|	
Lobelia erecta de	|	320456	|	synonym	|	Lobelia erecta de (synonym for Lobelia anceps)	|	gbif:5408235	|	
Lobelia ottoniana	|	320456	|	synonym	|	Lobelia ottoniana (synonym for Lobelia anceps)	|	gbif:5408235	|	
Lobelia alata var. ottoniana	|	320456	|	synonym	|	Lobelia alata var. ottoniana (synonym for Lobelia anceps)	|	gbif:5408235	|	
Lobelia alata var. longisepala	|	320456	|	synonym	|	Lobelia alata var. longisepala (synonym for Lobelia anceps)	|	gbif:5408235	|	
Lobelia alata var. stolonifera	|	320456	|	synonym	|	Lobelia alata var. stolonifera (synonym for Lobelia anceps)	|	gbif:5408235	|	
Lobelia saxicola de	|	320456	|	synonym	|	Lobelia saxicola de (synonym for Lobelia anceps)	|	gbif:5408235	|	
Lobelia uncinata de	|	320456	|	synonym	|	Lobelia uncinata de (synonym for Lobelia anceps)	|	gbif:5408235	|	
Lobelia alata var. minor	|	320456	|	synonym	|	Lobelia alata var. minor (synonym for Lobelia anceps)	|	gbif:5408235	|	
Lobelia anceps var. alata	|	320456	|	synonym	|	Lobelia anceps var. alata (synonym for Lobelia anceps)	|	gbif:5408235	|	
Lobelia alata var. rudatisii	|	320456	|	synonym	|	Lobelia alata var. rudatisii (synonym for Lobelia anceps)	|	gbif:5408235	|	
Lobelia rudatisii	|	320456	|	synonym	|	Lobelia rudatisii (synonym for Lobelia anceps)	|	gbif:5408235	|	
Lobelia alata	|	320456	|	synonym	|	Lobelia alata (synonym for Lobelia anceps)	|	gbif:5408235	|	
Laurentia repens	|	320456	|	synonym	|	Laurentia repens (synonym for Lobelia anceps)	|	gbif:5408235	|	
Lobelia alata var. cuneiformis	|	320456	|	synonym	|	Lobelia alata var. cuneiformis (synonym for Lobelia anceps)	|	gbif:5408235	|	
Lobelia anceps var. cuneiformis	|	320456	|	synonym	|	Lobelia anceps var. cuneiformis (synonym for Lobelia anceps)	|	gbif:5408235	|	
Lobelia anceps var. minor	|	320456	|	synonym	|	Lobelia anceps var. minor (synonym for Lobelia anceps)	|	gbif:5408235	|	
Lobelia longiracemosa	|	320456	|	synonym	|	Lobelia longiracemosa (synonym for Lobelia anceps)	|	gbif:5408235	|	
Lobelia cuneiformis	|	320456	|	heterotypic synonym	|	Lobelia cuneiformis (synonym for Lobelia anceps)	|	gbif:5408235	|	
Enchysia repens	|	320456	|	synonym	|	Enchysia repens (synonym for Lobelia anceps)	|	gbif:5408235	|	
Dobrowskya anceps	|	320456	|	synonym	|	Dobrowskya anceps (synonym for Lobelia anceps)	|	gbif:5408235	|	
Rapuntium alatum	|	320456	|	synonym	|	Rapuntium alatum (synonym for Lobelia anceps)	|	gbif:5408235	|	
Lobelia pubescens	|	320456	|	synonym	|	Lobelia pubescens (synonym for Lobelia anceps)	|	gbif:5408235	|	
Rapuntium ottonianum	|	320456	|	synonym	|	Rapuntium ottonianum (synonym for Lobelia anceps)	|	gbif:5408235	|	
Rapuntium cuneiforme	|	320456	|	synonym	|	Rapuntium cuneiforme (synonym for Lobelia anceps)	|	gbif:5408235	|	
Lobelia decumbens	|	320456	|	synonym	|	Lobelia decumbens (synonym for Lobelia anceps)	|	gbif:5408235	|	
Dortmanna anceps	|	320456	|	synonym	|	Dortmanna anceps (synonym for Lobelia anceps)	|	gbif:5408235	|	
Lobelia stricta de	|	320456	|	synonym	|	Lobelia stricta de (synonym for Lobelia anceps)	|	gbif:5408235	|	
Rapuntium anceps	|	320456	|	synonym	|	Rapuntium anceps (synonym for Lobelia anceps)	|	gbif:5408235	|	
Neowimmeria intermedia	|	444364	|	synonym	|	Neowimmeria intermedia (synonym for Lobelia niihauensis)	|	gbif:5408950	|	
Lobelia niihauensis var. forbesii	|	444364	|	synonym	|	Lobelia niihauensis var. forbesii (synonym for Lobelia niihauensis)	|	gbif:5408950	|	
Lobelia tortuosa var. haupuensis	|	444364	|	synonym	|	Lobelia tortuosa var. haupuensis (synonym for Lobelia niihauensis)	|	gbif:5408950	|	
Lobelia tortuosa var. intermedia	|	444364	|	synonym	|	Lobelia tortuosa var. intermedia (synonym for Lobelia niihauensis)	|	gbif:5408950	|	
Neowimmeria tortuosa var. glabrata	|	444364	|	synonym	|	Neowimmeria tortuosa var. glabrata (synonym for Lobelia niihauensis)	|	gbif:5408950	|	
Neowimmeria tortuosa	|	444364	|	synonym	|	Neowimmeria tortuosa (synonym for Lobelia niihauensis)	|	gbif:5408950	|	
Lobelia tortuosa f. glabrata	|	444364	|	synonym	|	Lobelia tortuosa f. glabrata (synonym for Lobelia niihauensis)	|	gbif:5408950	|	
Lobelia niihauensis var. meridiana	|	444364	|	synonym	|	Lobelia niihauensis var. meridiana (synonym for Lobelia niihauensis)	|	gbif:5408950	|	
Neowimmeria niihauensis	|	444364	|	synonym	|	Neowimmeria niihauensis (synonym for Lobelia niihauensis)	|	gbif:5408950	|	
Lobelia tortuosa	|	444364	|	heterotypic synonym	|	Lobelia tortuosa (synonym for Lobelia niihauensis)	|	gbif:5408950	|	
Neowimmeria niihauensis var. forbesii	|	444364	|	synonym	|	Neowimmeria niihauensis var. forbesii (synonym for Lobelia niihauensis)	|	gbif:5408950	|	
Neowimmeria meridiana	|	444364	|	synonym	|	Neowimmeria meridiana (synonym for Lobelia niihauensis)	|	gbif:5408950	|	
Rapuntium cordifolium	|	3892904	|	synonym	|	Rapuntium cordifolium (synonym for Lobelia cliffortiana)	|	gbif:5408958	|	
Rapuntium chenopodiifolium	|	3892904	|	synonym	|	Rapuntium chenopodiifolium (synonym for Lobelia cliffortiana)	|	gbif:5408958	|	
Lobelia chenopodiifolia	|	3892904	|	synonym	|	Lobelia chenopodiifolia (synonym for Lobelia cliffortiana)	|	gbif:5408958	|	
Lobelia tetragona	|	3892904	|	synonym	|	Lobelia tetragona (synonym for Lobelia cliffortiana)	|	gbif:5408958	|	
Lobelia bisserrata	|	3892904	|	synonym	|	Lobelia bisserrata (synonym for Lobelia cliffortiana)	|	gbif:5408958	|	
Dortmanna cliffortiana	|	3892904	|	synonym	|	Dortmanna cliffortiana (synonym for Lobelia cliffortiana)	|	gbif:5408958	|	
Rapuntium cliffortianum	|	3892904	|	synonym	|	Rapuntium cliffortianum (synonym for Lobelia cliffortiana)	|	gbif:5408958	|	
Rapuntium affine	|	3892904	|	proparte synonym	|	Rapuntium affine (synonym for Lobelia cliffortiana)	|	gbif:5408958	|	
Calcaratolobelia cordifolia	|	432805	|	synonym	|	Calcaratolobelia cordifolia (synonym for Lobelia cordifolia)	|	ncbi:252769,gbif:5408217	|	
Heterotoma cordifolia	|	432805	|	synonym	|	Heterotoma cordifolia (synonym for Lobelia cordifolia)	|	ncbi:252769,gbif:5408217	|	
Heterotoma salvadorensis	|	432805	|	synonym	|	Heterotoma salvadorensis (synonym for Lobelia cordifolia)	|	gbif:5408217	|	
Lobelia fenniae	|	3893069	|	synonym	|	Lobelia fenniae (synonym for Lobelia telekii)	|	gbif:5408842	|	
Dortmanna yuccoides	|	920084	|	synonym	|	Dortmanna yuccoides (synonym for Lobelia yuccoides)	|	gbif:5408937	|	
Neowimmeria yuccoides	|	920084	|	synonym	|	Neowimmeria yuccoides (synonym for Lobelia yuccoides)	|	gbif:5408937	|	
Lobelia boninensis f. rubra	|	665783	|	synonym	|	Lobelia boninensis f. rubra (synonym for Lobelia boninensis)	|	gbif:5408402	|	
Lobelia boninensis f. viridis	|	665783	|	synonym	|	Lobelia boninensis f. viridis (synonym for Lobelia boninensis)	|	gbif:5408402	|	
Dortmanna leschenaultiana	|	320440	|	synonym	|	Dortmanna leschenaultiana (synonym for Lobelia leschenaultiana)	|	gbif:5407838	|	
Lobelia aromatica	|	320440	|	synonym	|	Lobelia aromatica (synonym for Lobelia leschenaultiana)	|	gbif:5407838	|	
Lobelia nicotianifolia var. macrostemon	|	320440	|	synonym	|	Lobelia nicotianifolia var. macrostemon (synonym for Lobelia leschenaultiana)	|	gbif:5407838	|	
Lobelia camptodon	|	320440	|	synonym	|	Lobelia camptodon (synonym for Lobelia leschenaultiana)	|	gbif:5407838	|	
Rapuntium leschenaultianum	|	320440	|	synonym	|	Rapuntium leschenaultianum (synonym for Lobelia leschenaultiana)	|	gbif:5407838	|	
Lobelia excelsa	|	320440	|	synonym	|	Lobelia excelsa (synonym for Lobelia leschenaultiana)	|	gbif:5407838	|	
Dortmanna feayana	|	3892957	|	synonym	|	Dortmanna feayana (synonym for Lobelia feayana)	|	gbif:5408735	|	
Dortmanna ocimoides	|	894916	|	synonym	|	Dortmanna ocimoides (synonym for Lobelia xalapensis)	|	gbif:5408859	|	
Lobelia palmaris	|	894916	|	homotypic synonym	|	Lobelia palmaris (synonym for Lobelia xalapensis)	|	gbif:5408859	|	
Rapuntium molle	|	894916	|	synonym	|	Rapuntium molle (synonym for Lobelia xalapensis)	|	gbif:5408859	|	
Lobelia ocimoides	|	894916	|	synonym	|	Lobelia ocimoides (synonym for Lobelia xalapensis)	|	gbif:5408859	|	
Lobelia monticola	|	894916	|	synonym	|	Lobelia monticola (synonym for Lobelia xalapensis)	|	gbif:5408859	|	
Lobelia xalapense	|	894916	|	synonym	|	Lobelia xalapense (synonym for Lobelia xalapensis)	|	gbif:5408859	|	
Lobelia mollis	|	894916	|	heterotypic synonym	|	Lobelia mollis (synonym for Lobelia xalapensis)	|	gbif:5408859	|	
Dortmannia ocimoides	|	894916	|	synonym	|	Dortmannia ocimoides (synonym for Lobelia xalapensis)	|	gbif:5408859	|	
Rapuntium monticola	|	894916	|	synonym	|	Rapuntium monticola (synonym for Lobelia xalapensis)	|	gbif:5408859	|	
Dortmanna mollis	|	894916	|	synonym	|	Dortmanna mollis (synonym for Lobelia xalapensis)	|	gbif:5408859	|	
Lobelia cliffortiana var. xalapensis	|	894916	|	synonym	|	Lobelia cliffortiana var. xalapensis (synonym for Lobelia xalapensis)	|	gbif:5408859	|	
Dortmanna monticola	|	894916	|	synonym	|	Dortmanna monticola (synonym for Lobelia xalapensis)	|	gbif:5408859	|	
Dortmanna cliffortiana var. xalapensis	|	894916	|	synonym	|	Dortmanna cliffortiana var. xalapensis (synonym for Lobelia xalapensis)	|	gbif:5408859	|	
Dortmanna xalapensis	|	894916	|	synonym	|	Dortmanna xalapensis (synonym for Lobelia xalapensis)	|	gbif:5408859	|	
Rapuntium xalapense	|	894916	|	synonym	|	Rapuntium xalapense (synonym for Lobelia xalapensis)	|	gbif:5408859	|	
Lobelia gibbosa	|	894914	|	synonym	|	Lobelia gibbosa (synonym for Lobelia stricta)	|	gbif:5408483	|	
Lobelia gibbosa f. alba	|	894914	|	synonym	|	Lobelia gibbosa f. alba (synonym for Lobelia stricta)	|	gbif:5408483	|	
Lobelia toppii	|	894914	|	synonym	|	Lobelia toppii (synonym for Lobelia stricta)	|	gbif:5408483	|	
Lobelia microsperma	|	894914	|	synonym	|	Lobelia microsperma (synonym for Lobelia stricta)	|	gbif:5408483	|	
Lobelia gibbosa var. microsperma	|	894914	|	synonym	|	Lobelia gibbosa var. microsperma (synonym for Lobelia stricta)	|	gbif:5408483	|	
Lobelia browniana	|	894914	|	synonym	|	Lobelia browniana (synonym for Lobelia stricta)	|	gbif:5408483	|	
Lobelia gibbosa var. browniana	|	894914	|	synonym	|	Lobelia gibbosa var. browniana (synonym for Lobelia stricta)	|	gbif:5408483	|	
Dortmanna browniana	|	894914	|	synonym	|	Dortmanna browniana (synonym for Lobelia stricta)	|	gbif:5408483	|	
Dortmanna gibbosa	|	894914	|	synonym	|	Dortmanna gibbosa (synonym for Lobelia stricta)	|	gbif:5408483	|	
Lobelia gibbosa var. alba	|	894914	|	synonym	|	Lobelia gibbosa var. alba (synonym for Lobelia stricta)	|	gbif:5408483	|	
Rapuntium gibbosum	|	894914	|	synonym	|	Rapuntium gibbosum (synonym for Lobelia stricta)	|	gbif:5408483	|	
Dortmanna microsperma	|	894914	|	synonym	|	Dortmanna microsperma (synonym for Lobelia stricta)	|	gbif:5408483	|	
Rapuntium brownianum	|	894914	|	synonym	|	Rapuntium brownianum (synonym for Lobelia stricta)	|	gbif:5408483	|	
Lobelia areolata	|	894914	|	homotypic synonym	|	Lobelia areolata (synonym for Lobelia stricta)	|	gbif:5408245	|	
Lobelia flavescens	|	894914	|	synonym	|	Lobelia flavescens (synonym for Lobelia stricta)	|	gbif:5408245	|	
Tupa flavescens	|	894914	|	synonym	|	Tupa flavescens (synonym for Lobelia stricta)	|	gbif:5408245	|	
Tupa stricta	|	894914	|	synonym	|	Tupa stricta (synonym for Lobelia stricta)	|	gbif:5408245	|	
Rapuntium strictum	|	894914	|	synonym	|	Rapuntium strictum (synonym for Lobelia stricta)	|	gbif:5408245	|	
Dortmanna stricta	|	894914	|	synonym	|	Dortmanna stricta (synonym for Lobelia stricta)	|	gbif:5408245	|	
Dortmanna flavescens	|	894914	|	synonym	|	Dortmanna flavescens (synonym for Lobelia stricta)	|	gbif:5408245	|	
Tupa martagon	|	894902	|	synonym	|	Tupa martagon (synonym for Lobelia martagon)	|	gbif:5409139	|	
Dortmanna martagon	|	894902	|	synonym	|	Dortmanna martagon (synonym for Lobelia martagon)	|	gbif:5409139	|	
Lobelia scioensis	|	790011	|	synonym	|	Lobelia scioensis (synonym for Lobelia holstii)	|	gbif:5408923	|	
Lobelia holstii f. minor	|	790011	|	synonym	|	Lobelia holstii f. minor (synonym for Lobelia holstii)	|	gbif:5408923	|	
Lobelia johnstonii	|	790011	|	synonym	|	Lobelia johnstonii (synonym for Lobelia holstii)	|	gbif:5408923	|	
Lobelia holstii f. alba	|	790011	|	synonym	|	Lobelia holstii f. alba (synonym for Lobelia holstii)	|	gbif:5408923	|	
Tupa laxiflora	|	958542	|	synonym	|	Tupa laxiflora (synonym for Lobelia laxiflora)	|	gbif:5408996	|	
Dortmanna laxiflora	|	958542	|	synonym	|	Dortmanna laxiflora (synonym for Lobelia laxiflora)	|	gbif:5408996	|	
Rapuntium laxiflorum	|	958542	|	synonym	|	Rapuntium laxiflorum (synonym for Lobelia laxiflora)	|	gbif:5408996	|	
Dortmanna boykinii	|	550215	|	synonym	|	Dortmanna boykinii (synonym for Lobelia boykinii)	|	gbif:5408626	|	
Lobelia rhyncocephalum	|	149503	|	misspelling	|	Lobelia rhyncocephalum (synonym for Lobelia aberdarica)	|	ncbi:104597	|	
Lobelia bracteata	|	3892855	|	synonym	|	Lobelia bracteata (synonym for Lobelia spicata)	|	gbif:5408750	|	
Lobelia leptostachys var. hirtella	|	3892855	|	synonym	|	Lobelia leptostachys var. hirtella (synonym for Lobelia spicata)	|	gbif:5408750	|	
Lobelia spicata f. campanulata	|	3892855	|	synonym	|	Lobelia spicata f. campanulata (synonym for Lobelia spicata)	|	gbif:5408750	|	
Lobelia spicata var. hirtella	|	3892855	|	synonym	|	Lobelia spicata var. hirtella (synonym for Lobelia spicata)	|	gbif:5408750	|	
Lobelia spicata f. albiflora	|	3892855	|	synonym	|	Lobelia spicata f. albiflora (synonym for Lobelia spicata)	|	gbif:5408750	|	
Lobelia pallida	|	3892855	|	synonym	|	Lobelia pallida (synonym for Lobelia spicata)	|	gbif:5408750	|	
Lobelia leptostachys	|	3892855	|	synonym	|	Lobelia leptostachys (synonym for Lobelia spicata)	|	gbif:5408750	|	
