name	|	uid	|	type	|	uniqname	|	sourceinfo	|	
Trimeris	|	869810	|	synonym	|	Trimeris (synonym for Lobelia)	|	gbif:2756426	|	
Speirema	|	869810	|	synonym	|	Speirema (synonym for Lobelia)	|	gbif:2756426	|	
Colensoa	|	869810	|	synonym	|	Colensoa (synonym for Lobelia)	|	gbif:2756426	|	
Piddingtonia	|	869810	|	synonym	|	Piddingtonia (synonym for Lobelia)	|	gbif:2756426	|	
Isotoma	|	869810	|	synonym	|	Isotoma (synonym for Lobelia)	|	gbif:2756426	|	
Mezleria	|	869810	|	synonym	|	Mezleria (synonym for Lobelia)	|	gbif:2756426	|	
Tupa	|	869810	|	synonym	|	Tupa (synonym for Lobelia)	|	gbif:2756426	|	
Calcaratolobelia	|	869810	|	synonym	|	Calcaratolobelia (synonym for Lobelia)	|	gbif:2756426	|	
Laurentia	|	869810	|	synonym	|	Laurentia (synonym for Lobelia)	|	gbif:2756426	|	
Parastranthus	|	869810	|	synonym	|	Parastranthus (synonym for Lobelia)	|	gbif:2756426	|	
Rapuntium	|	869810	|	synonym	|	Rapuntium (synonym for Lobelia)	|	gbif:2756426	|	
Unigenes	|	869810	|	synonym	|	Unigenes (synonym for Lobelia)	|	gbif:2756426	|	
Pratia	|	869810	|	synonym	|	Pratia (synonym for Lobelia)	|	gbif:2756426	|	
Solenopsis	|	869810	|	synonym	|	Solenopsis (synonym for Lobelia)	|	gbif:2756426	|	
Legouzia	|	117718	|	synonym	|	Legouzia (synonym for Legousia)	|	gbif:3158769	|	
Specularia	|	117718	|	synonym	|	Specularia (synonym for Legousia)	|	gbif:3158769	|	
Pentagonia	|	117718	|	synonym	|	Pentagonia (synonym for Legousia)	|	gbif:3158769	|	
Jasionella	|	691973	|	synonym	|	Jasionella (synonym for Jasione)	|	gbif:3165617	|	
Ovilla	|	691973	|	synonym	|	Ovilla (synonym for Jasione)	|	gbif:3165617	|	
Muehlbergella	|	533078	|	synonym	|	Muehlbergella (synonym for Edraianthus)	|	gbif:3164387	|	
Halacsyella	|	533078	|	synonym	|	Halacsyella (synonym for Edraianthus)	|	gbif:3164387	|	
Hedraeanthus	|	533078	|	synonym	|	Hedraeanthus (synonym for Edraianthus)	|	gbif:3164387	|	
Asyneura	|	533062	|	synonym	|	Asyneura (synonym for Asyneuma)	|	gbif:3168049	|	
Podanthum	|	533062	|	synonym	|	Podanthum (synonym for Asyneuma)	|	gbif:3168049	|	
Asyneumopsis	|	533062	|	synonym	|	Asyneumopsis (synonym for Asyneuma)	|	gbif:3168049	|	
Rapunculus	|	743280	|	synonym	|	Rapunculus (synonym for Phyteuma)	|	gbif:3166599	|	
Lightfootia	|	965706	|	synonym	|	Lightfootia (synonym for Wahlenbergia)	|	gbif:3167091	|	
Cervicina	|	965706	|	synonym	|	Cervicina (synonym for Wahlenbergia)	|	gbif:3167091	|	
Cephalostigma	|	965706	|	synonym	|	Cephalostigma (synonym for Wahlenbergia)	|	gbif:3167091	|	
Schultesia	|	965706	|	synonym	|	Schultesia (synonym for Wahlenbergia)	|	gbif:3167091	|	
Campanopsis	|	965706	|	synonym	|	Campanopsis (synonym for Wahlenbergia)	|	gbif:3167091	|	
Leptocodon	|	670513	|	synonym	|	Leptocodon (synonym for Codonopsis)	|	gbif:3165850	|	
Numaeacampa	|	670513	|	synonym	|	Numaeacampa (synonym for Codonopsis)	|	gbif:3165850	|	
Glosocomia	|	670513	|	synonym	|	Glosocomia (synonym for Codonopsis)	|	gbif:3165850	|	
Cyclocodon	|	670513	|	synonym	|	Cyclocodon (synonym for Codonopsis)	|	gbif:3165850	|	
Campanumoea	|	670513	|	synonym	|	Campanumoea (synonym for Codonopsis)	|	gbif:3165850	|	
Glossocomia	|	670513	|	synonym	|	Glossocomia (synonym for Codonopsis)	|	gbif:3165850	|	
Rhizocephalum	|	887880	|	synonym	|	Rhizocephalum (synonym for Lysipomia)	|	gbif:3166024	|	
Dominella	|	887880	|	synonym	|	Dominella (synonym for Lysipomia)	|	gbif:3166024	|	
Synotoma	|	743283	|	synonym	|	Synotoma (synonym for Physoplexis)	|	gbif:3161911	|	
Homocodon	|	691962	|	synonym	|	Homocodon (synonym for Heterocodon)	|	gbif:3168964	|	
Byrsanthes	|	894918	|	synonym	|	Byrsanthes (synonym for Siphocampylus)	|	gbif:3168383	|	
Campylosiphon	|	894918	|	synonym	|	Campylosiphon (synonym for Siphocampylus)	|	gbif:3168383	|	
Cremochilus	|	894918	|	synonym	|	Cremochilus (synonym for Siphocampylus)	|	gbif:3168383	|	
Rollandia	|	708051	|	synonym	|	Rollandia (synonym for Cyanea)	|	gbif:3164495	|	
Kittelia	|	708051	|	synonym	|	Kittelia (synonym for Cyanea)	|	gbif:3164495	|	
Campanulastrum Small, 1903	|	590452	|	includes	|	Campanulastrum Small, 1903 (synonym for Campanula)	|	ncbi:40568	|	
Diosphaera	|	590452	|	includes	|	Diosphaera (synonym for Campanula)	|	ncbi:40568,gbif:3161935,gbif:3167089	|	
Gadellia	|	590452	|	includes	|	Gadellia (synonym for Campanula)	|	ncbi:40568,gbif:3161935	|	
Rapuntia	|	590452	|	synonym	|	Rapuntia (synonym for Campanula)	|	gbif:3161935	|	
Medium	|	590452	|	synonym	|	Medium (synonym for Campanula)	|	gbif:3161935	|	
Symphyandra	|	590452	|	synonym	|	Symphyandra (synonym for Campanula)	|	gbif:3161935	|	
Echinocodon	|	590452	|	synonym	|	Echinocodon (synonym for Campanula)	|	gbif:3161935	|	
Brachycodon	|	590452	|	synonym	|	Brachycodon (synonym for Campanula)	|	gbif:3161935	|	
Pseudocampanula	|	590452	|	synonym	|	Pseudocampanula (synonym for Campanula)	|	gbif:3161935	|	
