source_name	source_qid	parity	target_name	target_qid	target_uid	reason	witness	
		-	Wittsteinia papuana	gbif:3686208	9000007	addition	null
Lobelia scabra	gbif:7487624	=>	Lobelia scabra	gbif:7487624	9006629	new/tip	null
Monopsis scabra	gbif:5413068	=>	Monopsis scabra	gbif:5413068	3892570	new/tip	null
Monopsis simplex	gbif:5413070	=>	Monopsis simplex	gbif:5413070	3892571	new/tip	null
		-	Lobelia scabra	gbif:7487624	9006629	addition	null
Croptilon	ncbi:71040	=>	Croptilon	ncbi:71040	592500	new/import	null
Crepis alpestris	ncbi:268012	=>	Crepis alpestris	ncbi:268012	674079	new/tip	null
Alseuosmia palaeiformis	gbif:3686194	=>	Alseuosmia palaeiformis	gbif:3686194	9000002	new/tip	null
		-	Alseuosmia palaeiformis	gbif:3686194	9000002	addition	null
Rhysolepis	gbif:8361808	=>	Rhysolepis	gbif:8361808	4727937	new/tip	null
Rhysolepis	ott:4727937	-		null	-	continued-hidden	null
Lactuca indica	ncbi:75953	=>	Lactuca indica	ncbi:75953	678386	new/import	null
Siphocampylus benthamianus	gbif:3168402	=>	Siphocampylus benthamianus	gbif:3168402	3892769	new/tip	null
Thelesperma megapotamicum	ncbi:153168	=>	Thelesperma megapotamicum	ncbi:153168	978132	new/tip	null
Stebbinsoseris	ncbi:231837	=>	Stebbinsoseris	ncbi:231837	865140	new/import	null
Microseris	gbif:3130201	-	Stebbinsoseris	ncbi:231837	865140	noinfo/disjoint	|Microseris scapigera
Microseris	gbif:3130201	=>	Microseris	ncbi:19027	1089063	same/is-subsumed-by	null
Pertya	ncbi:130294	=>	Pertya	ncbi:130294	509608	new/import	null
Pertya	ott:509608	=>	Pertya	ncbi:130294	509608	same/parent+parent	Pertyeae|Pertyeae
Myripnois	ott:837728	-	Pertya	ncbi:130294	509608	noinfo/disjoint	|Myripnois dioica
Myripnois	ott:837728	=>	Myripnois	ncbi:130280	837728	same/is-subsumed-by	null
Solidago multiradiata	ncbi:669837	=>	Solidago multiradiata	ncbi:669837	120790	new/tip	null
Taraxacum sinicum	ncbi:524209	=>	Taraxacum sinicum	ncbi:524209	738086	new/tip	null
Cirsium pyrenaicum	ncbi:1338473	=>	Cirsium pyrenaicum	ncbi:1338473	3894697	new/tip	null
Cirsium haussknechtii	ott:3894714	=>	Cirsium pyrenaicum	ncbi:1338473	3894697	lumped	null
Cirsium haussknechtii	ott:3894714	=>	Cirsium pyrenaicum	ncbi:1338473	3894697	lumped	null
Cirsium haussknechtii	ott:3894714	-		null	-	lumped	null
Osbertia	gbif:3142353	=>	Osbertia	gbif:3142353	4727529	new/tip	null
Osbertia	ott:4727529	-		null	-	continued-hidden	null
Prenanthes purpurea	ncbi:43204	=>	Prenanthes purpurea	ncbi:43204	475563	new/tip	null
Solidago riddellii	ncbi:471153	=>	Solidago riddellii	ncbi:471153	265113	new/tip	null
Gazania linearis	ncbi:460742	=>	Gazania linearis	ncbi:460742	896250	new/import	null
Campanula breynina	gbif:7717014	=>	Campanula breynina	gbif:7717014	9006159	new/tip	null
Campanula praesignis	gbif:5409864	=>	Campanula praesignis	gbif:5409864	3893169	new/tip	null
Campanula praesignis	ott:3893169	-	Campanula breynina	gbif:7717014	9006159	noinfo	null
Campanula praesignis	ott:3893169	=>	Campanula praesignis	gbif:5409864	3893169	same/primary-name	Campanula praesignis
		-	Campanula breynina	gbif:7717014	9006159	addition	null
Stuessya	ncbi:1048898	=>	Stuessya	ncbi:1048898	506272	new/import	null
Viguiera	gbif:3099986	-	Stuessya	ncbi:1048898	506272	noinfo/disjoint	|Viguiera palmeri
Viguiera	gbif:3099986	-	Bahiopsis	ncbi:191142	687814	noinfo/disjoint	|Viguiera palmeri
Viguiera	gbif:3099986	-	Hymenostephium	ncbi:191165	635352	noinfo/disjoint	|Viguiera palmeri
Viguiera	gbif:3099986	-	Calanticaria	ncbi:191153	113651	noinfo	null
Viguiera	gbif:3099986	=>	Viguiera	ncbi:73317	994312	same/primary-name	Viguiera
Hieracium collinum	gbif:8044414	=>	Hieracium collinum	gbif:8044414	9003513	new/tip	null
Hieracium cymosum	ott:809689	-	Hieracium collinum	gbif:8044414	9003513	noinfo/target-no-children	null
Hieracium cymosum	ott:809689	=>	Pilosella cymosa	ncbi:221193	809689	same/is-subsumed-by	null
		-	Hieracium collinum	gbif:8044414	9003513	addition	null
Campanula pendula	ncbi:239473	=>	Campanula pendula	ncbi:239473	1002872	new/tip	null
Campanula alliariifolia	ott:245756	-	Campanula pendula	ncbi:239473	1002872	noinfo	null
