id	size	name	sourceinfo	reason	witness	replacement	status
74621	1	Bellis pappulosa	ncbi:191236	newly-hidden[incertae_sedis_inherited]	Bellis	=		
74620	1	Bellis microcephala	ncbi:191235,gbif:3117421	newly-hidden[incertae_sedis_inherited]	Bellis	=		
74619	1	Bellis atlantica	ncbi:191234	newly-hidden[incertae_sedis_inherited]	Bellis	=		
1026818	3	Inulanthera	ncbi:127984,gbif:3144400	newly-hidden[incertae_sedis]	Inulanthera	=		
3894866	1	Atractylis boulosii	gbif:5398262	id-retired/name-retired		*		
3894867	1	Atractylis phazaniae	gbif:5398245	id-retired/name-retired		*		
3893537	1	Edraianthus linifolius	gbif:3164426	id-retired/name-retired		*		
3894869	1	Atractylis preauxiana	gbif:5398244	id-retired/name-retired		*		
3894860	1	Echinops melitensis	gbif:6076747	id-retired/name-retired		*		
3894861	1	Echinops foliosus	gbif:5392810	id-retired/name-retired		*		
3893530	1	Cyanea st	gbif:5412320	id-retired/name-retired		*		
3894862	1	Echinops conrathii	gbif:5392868	id-retired/name-retired		*		
3894863	1	Atractylis serrata	gbif:5398241	id-retired/name-retired		*		
3894864	1	Atractylis prolifera	gbif:5398278	id-retired/name-retired		*		
3894865	1	Atractylis auranitica	gbif:5398243	id-retired/name-retired		*		
3894855	1	Echinops pannosus	gbif:5392781	id-retired/name-retired		*		
3894856	1	Echinops adenocaulos	gbif:6076760	id-retired/name-retired		*		
3894858	1	Echinops cyrenaicus	gbif:5392782	id-retired/name-retired		*		
3894850	1	Echinops hussonii	gbif:5392799	id-retired/name-retired		*		
3894851	1	Echinops opacifolius	gbif:5392668	id-retired/name-retired		*		
3893520	1	Cyanea dunbariae	gbif:5412201	lumped		3893518		
3894853	1	Echinops macrochaetus	gbif:5392880	id-retired/name-retired		*		
3894854	1	Echinops corniger	gbif:5929481	id-retired/name-retired		*		
3894888	1	Taraxacum tinctum	gbif:5394008	id-retired/name-retired		*		
3894889	1	Taraxacum aragonicum	gbif:5699240	id-retired/name-retired		*		
3894880	1	Atractylis caerulea	gbif:5398276	id-retired/name-retired		*		
3894881	1	Carlina comosa	gbif:3105368	id-retired/name-retired		*		
3894882	1	Carlina kurdica	gbif:3105408	id-retired/name-retired		*		
1014819	4	Phalacrocarpum	ncbi:127989,gbif:3150354	newly-hidden[incertae_sedis]	Phalacrocarpum	=		
3894883	1	Carlina vayredae	gbif:7336831	id-retired/name-retired		*		
3894884	1	Carlina guittonneaui	gbif:3105432	id-retired/name-retired		*		
3894885	1	Cardopatium amethystinum	gbif:3098508	id-retired/name-retired		*		
3894886	1	Taraxacum cephalum	gbif:5394460	id-retired/name-retired		*		
3894887	1	Taraxacum transjordanicum	gbif:5394466	id-retired/name-retired		*		
3894877	1	Atractylis aristata	gbif:5398258	id-retired/name-retired		*		
3894878	1	Atractylis polycephala	gbif:5398268	id-retired/name-retired		*		
1014821	1	Otospermum glabrum	ncbi:127988,gbif:3130909	newly-hidden[incertae_sedis_inherited]	Otospermum	=		
3894870	1	Atractylis tutinii	gbif:5398270	id-retired/name-retired		*		
3894871	1	Atractylis delicatula	gbif:5398247	id-retired/name-retired		*		
3894872	1	Atractylis echinata	gbif:5398248	id-retired/name-retired		*		
3894874	1	Atractylis serratuloides	gbif:5398251	id-retired/name-retired		*		
3894875	1	Atractylis mernephthae	gbif:5398277	id-retired/name-retired		*		
3894876	1	Atractylis babelii	gbif:5398285	id-retired/name-retired		*		
3894823	1	Jurinea exuberans	gbif:5392418	id-retired/name-retired		*		
3894824	1	Jurinea sosnovskii	gbif:6076745	id-retired/name-retired		*		
3894825	1	Jurinea grossheimii	gbif:5392484	id-retired/name-retired		*		
3894826	1	Jurinea kitanovii	gbif:5694572	id-retired/name-retired		*		
3894827	1	Galactites tomentosus	gbif:4231406	lumped		25038		
3894828	1	Galactites mutabilis	gbif:3137576	id-retired/name-retired		*		
3894829	1	Saussurea weberi	gbif:5404283	id-retired/name-retired		*		
3894820	1	Jurinea ewersmanii	gbif:6076740	id-retired/name-retired		*		
3894821	1	Jurinea venusta	gbif:5392643	id-retired/name-retired		*		
3894808	1	Jurinea mesopotamica	gbif:5694529	id-retired/name-retired		*		
3894809	1	Jurinea taygetea	gbif:5694447	id-retired/name-retired		*		
3894811	1	Jurinea bocconei	gbif:5392429	id-retired/name-retired		*		
3894812	1	Jurinea dolomitica	gbif:5392536	id-retired/name-retired		*		
3894813	1	Jurinea iljinii	gbif:5392404	id-retired/name-retired		*		
3894814	1	Jurinea albovii	gbif:5392630	id-retired/name-retired		*		
3894815	1	Jurinea woronowii	gbif:5392648	id-retired/name-retired		*		
3894816	1	Jurinea tenuiloba	gbif:5392517	id-retired/name-retired		*		
3894817	1	Jurinea ciscaucasica	gbif:5392512	id-retired/name-retired		*		
3894818	1	Jurinea staehelinae	gbif:5392649	id-retired/name-retired		*		
3894810	1	Jurinea coronopifolia	gbif:5392401	id-retired/name-retired		*		
3894844	1	Echinops descendens	gbif:5392832	id-retired/name-retired		*		
3894845	1	Echinops viridifolius	gbif:5392743	id-retired/name-retired		*		
3894846	1	Echinops armenus	gbif:5392949	id-retired/name-retired		*		
3894847	1	Echinops dagestanicus	gbif:5392738	id-retired/name-retired		*		
3894848	1	Echinops oxyodontus	gbif:5392792	id-retired/name-retired		*		
3894840	1	Echinops taeckholmianus	gbif:5392929	id-retired/name-retired		*		
3893510	1	Cyanea nelsoni	gbif:5708949	id-retired/name-retired		*		
3894842	1	Echinops galalensis	gbif:5392744	id-retired/name-retired		*		
3894843	1	Echinops philistaeus	gbif:5392673	id-retired/name-retired		*		
3894833	1	Saussurea triangulata	gbif:5404660	id-retired/name-retired		*		
3894834	1	Saussurea nipponika	gbif:7338730	id-retired/name-retired		*		
3894835	1	Saussurea tschuktschorum	gbif:5404154	id-retired/name-retired		*		
3894836	1	Saussurea porcii	gbif:5404478	id-retired/name-retired		*		
3894837	1	Saussurea kiraisanensis	gbif:5404468	id-retired/name-retired		*		
3894839	1	Echinops khorassanicus	gbif:7337259	id-retired/name-retired		*		
3894831	1	Saussurea turgaiensis	gbif:5404149	id-retired/name-retired		*		
3894832	1	Saussurea depressa	gbif:5404636	id-retired/name-retired		*		
3894890	1	Taraxacum beckeri	gbif:5394000	id-retired/name-retired		*		
3894899	1	Taraxacum laudabile	gbif:5697392	id-retired/name-retired		*		
3894891	1	Taraxacum ligerinum	gbif:5697326	id-retired/name-retired		*		
3894892	1	Taraxacum lacerilobatum	gbif:5697507	id-retired/name-retired		*		
3894893	1	Taraxacum lacertosum	gbif:5697505	id-retired/name-retired		*		
3894894	1	Taraxacum lacerifolium	gbif:5697509	id-retired/name-retired		*		
3894895	1	Taraxacum vanum	gbif:5694661	id-retired/name-retired		*		
